G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
434 355 35.7 0.464 0.327 0.773 0.8 2.9 3.7 4.5 1.7 0.3 2.8 2.5 19.5 1
562 123 19.4 0.442 0.363 0.785 1.0 1.5 2.5 0.7 0.5 0.2 0.5 1.7 6.7 1
192 186 36.2 0.441 0.255 0.762 0.9 4.0 4.9 5.3 1.4 0.4 3.0 2.5 18.2 1
413 25 19.5 0.427 0.367 0.728 0.3 1.6 1.9 2.8 0.8 0.1 1.3 1.4 7.7 1
534 479 34.8 0.412 0.330 0.787 0.6 2.7 3.3 6.7 1.4 0.2 2.6 2.2 13.4 1
249 10 24.0 0.399 0.360 0.840 0.5 1.9 2.4 2.2 1.0 0.2 1.2 1.5 9.1 1
148 143 30.0 0.480 0.344 0.669 1.1 4.3 5.4 2.2 1.1 0.2 1.4 1.4 9.3 1
1173 722 26.2 0.400 0.373 0.816 0.3 1.8 2.1 3.1 1.1 0.1 1.2 2.1 8.6 1
163 90 22.9 0.400 0.338 0.809 0.3 1.6 1.9 3.9 0.8 0.0 2.3 1.1 9.2 1
10 0 9.5 0.344 0.231 0.667 0.6 0.9 1.5 1.0 0.3 0.0 1.0 0.5 3.5 1
389 214 27.1 0.411 0.366 0.861 0.4 2.0 2.4 3.2 0.7 0.3 1.6 2.2 11.6 1
61 7 18.6 0.386 0.361 0.833 0.3 0.9 1.2 1.8 0.5 0.0 1.1 1.2 7.6 1
113 12 11.6 0.397 0.301 0.562 0.4 1.1 1.5 1.8 0.7 0.0 0.8 0.9 4.5 1
422 113 22.6 0.437 0.360 0.808 0.6 2.2 2.8 1.4 0.8 0.7 1.1 2.4 8.6 1
127 85 25.4 0.445 0.352 0.788 0.7 3.9 4.7 1.8 1.3 0.5 1.5 2.5 10.0 1
351 74 23.9 0.409 0.416 0.786 0.4 1.7 2.1 2.0 0.6 0.2 1.0 2.1 8.2 1
667 346 27.9 0.452 0.373 0.835 0.8 3.2 4.0 3.9 1.5 0.3 2.1 2.2 15.2 1
594 269 29.9 0.436 0.406 0.859 0.5 2.2 2.7 2.8 0.8 0.2 2.2 2.5 16.5 1
205 190 35.7 0.452 0.370 0.807 0.6 2.1 2.7 3.3 1.1 0.4 2.4 2.0 18.2 1
40 0 10.4 0.391 0.373 0.917 0.1 0.7 0.8 0.5 0.1 0.0 0.5 0.8 4.4 1
94 38 18.4 0.441 0.418 0.783 0.7 2.1 2.8 1.0 0.7 0.5 0.8 1.3 7.3 1
212 43 17.3 0.433 0.366 0.799 0.6 1.7 2.2 0.8 0.5 0.2 1.2 2.0 8.3 1
552 226 21.3 0.428 0.334 0.762 0.4 1.5 1.9 1.5 0.6 0.1 1.1 1.8 9.1 1
26 2 9.9 0.432 0.362 0.400 0.4 2.0 2.4 0.8 0.2 0.1 0.6 0.6 4.4 1
871 738 32.7 0.450 0.348 0.851 0.9 2.3 3.2 3.5 0.8 0.1 2.2 2.6 17.5 1
220 7 26.7 0.444 0.370 0.835 0.5 2.9 3.4 2.5 1.1 0.3 1.6 2.5 12.7 1
543 408 28.1 0.441 0.315 0.801 0.4 2.0 2.4 5.0 1.2 0.2 2.2 2.5 13.1 1
80 20 17.4 0.383 0.359 0.737 0.6 2.0 2.6 1.4 0.6 0.2 1.1 1.2 6.2 1
22 1 14.5 0.349 0.205 0.667 0.8 1.5 2.3 1.2 0.4 0.1 1.1 1.5 3.6 1
166 85 23.2 0.450 0.216 0.768 0.8 2.2 2.9 1.4 0.7 0.4 1.1 1.6 9.6 1
83 16 15.5 0.399 0.265 0.620 0.4 1.3 1.7 0.6 0.4 0.1 0.6 1.3 4.9 1
38 0 11.1 0.325 0.200 0.700 0.2 0.7 0.9 0.9 0.1 0.2 1.0 1.1 3.9 1
