G GS MPG FG% 3p% FT% OFF DEF RPG APG SPG BPG TO PF PPG Class
297 290 33.5 0.528 0.190 0.722 2.3 5.8 8.1 2.4 0.9 1.5 1.9 3.3 13.1 2
796 790 36.0 0.520 0.232 0.752 2.8 6.4 9.2 3.2 0.6 1.7 2.3 2.3 18.7 2
26 7 9.7 0.424 0.000 0.500 0.5 1.7 2.2 0.2 0.2 0.8 0.3 1.2 2.2 2
671 493 27.4 0.466 0.227 0.759 2.6 5.1 7.7 1.2 0.8 0.7 1.6 2.6 12.0 2
296 83 20.5 0.555 0.200 0.674 1.8 4.7 6.5 0.5 0.4 1.1 0.8 2.0 8.1 2
239 65 12.5 0.512 0.000 0.569 1.4 2.5 4.0 0.6 0.3 0.3 0.8 2.2 3.7 2
121 0 6.1 0.477 0.000 0.663 0.8 1.4 2.2 0.3 0.0 0.5 0.5 1.2 2.1 2
165 30 21.1 0.425 0.000 0.787 1.9 2.9 4.8 0.6 0.6 0.2 1.0 2.4 9.9 2
14 0 5.9 0.290 0.154 0.000 0.2 0.6 0.9 0.1 0.1 0.2 0.4 0.4 1.4 2
37 4 14.6 0.423 0.339 0.615 1.3 2.6 3.9 0.3 0.6 0.5 0.5 1.3 4.4 2
338 228 22.9 0.468 0.301 0.650 1.7 4.1 5.8 1.7 0.4 1.0 1.5 2.6 8.5 2
478 242 20.0 0.509 0.000 0.608 1.9 3.7 5.6 1.3 0.8 0.4 0.8 2.6 4.2 2
733 531 23.7 0.534 0.000 0.591 2.7 3.6 6.2 0.6 0.4 1.4 1.1 2.6 7.2 2
297 256 24.3 0.481 0.273 0.725 2.3 4.0 6.4 1.6 0.4 1.6 1.7 3.2 11.1 2
158 19 14.6 0.493 0.000 0.680 1.7 2.5 4.2 0.4 0.3 0.6 0.8 2.0 5.3 2
314 55 13.0 0.557 0.000 0.646 0.9 1.3 2.3 0.3 0.2 0.5 0.8 2.2 4.2 2
317 313 33.7 0.537 0.250 0.761 2.6 6.8 9.5 2.4 0.8 1.1 1.6 2.8 12.8 2
621 620 36.2 0.577 0.030 0.588 3.6 9.3 13.0 1.5 1.0 2.2 3.1 3.2 18.4 2
221 110 24.1 0.540 0.333 0.695 2.5 4.4 6.9 0.3 0.4 2.4 1.0 2.9 8.5 2
550 419 30.3 0.501 0.040 0.711 2.7 6.2 8.9 1.4 0.7 1.4 1.5 2.8 16.2 2
353 126 19.0 0.584 0.250 0.707 2.0 3.0 5.0 0.7 0.5 1.1 0.9 3.0 6.1 2
269 157 21.4 0.644 0.000 0.440 2.2 4.1 6.4 0.3 0.4 1.5 1.1 2.6 6.0 2
21 0 5.1 0.515 0.000 0.800 0.7 0.6 1.3 0.2 0.0 0.3 0.1 0.7 2.0 2
540 458 29.7 0.483 0.000 0.741 2.2 6.1 8.3 1.4 0.5 1.4 2.3 2.9 11.9 2
66 0 13.2 0.496 0.000 0.667 1.6 2.6 4.2 0.1 0.3 0.4 0.8 1.3 4.6 2
182 33 10.8 0.521 0.000 0.622 1.2 1.9 3.1 0.3 0.3 0.6 0.6 1.4 3.8 2
498 340 31.7 0.539 0.048 0.777 2.8 6.8 9.6 2.2 0.9 0.4 1.8 2.8 14.3 2
251 244 34.1 0.504 0.000 0.796 2.8 4.7 7.5 1.6 0.6 1.6 2.1 3.0 17.4 2
242 94 14.4 0.517 0.000 0.714 1.4 1.9 3.3 0.2 0.2 0.8 0.7 2.0 5.8 2
269 187 31.7 0.457 0.372 0.823 3.9 8.1 12.0 1.9 0.6 0.5 1.9 2.4 17.3 2
680 314 21.5 0.480 0.000 0.639 2.1 4.4 6.5 0.6 0.3 0.9 1.5 2.6 7.2 2
149 12 12.2 0.561 0.000 0.691 1.1 2.0 3.1 0.2 0.4 0.4 0.6 2.1 4.4 2
275 153 21.2 0.533 0.000 0.581 2.2 3.8 6.0 0.4 0.4 1.8 1.1 2.5 8.6 2
467 208 18.5 0.460 0.000 0.574 1.3 2.9 4.2 0.9 0.4 1.3 1.2 2.3 6.0 2
868 598 28.3 0.480 0.330 0.804 2.0 5.2 7.1 2.8 0.7 0.7 1.6 2.7 11.2 2
834 341 17.4 0.493 0.000 0.639 2.0 3.2 5.2 0.4 0.5 0.7 1.0 2.4 6.6 2
146 114 29.5 0.533 0.000 0.685 3.3 5.1 8.5 1.8 1.2 0.6 1.7 2.6 12.1 2
564 181 18.2 0.551 0.154 0.743 1.4 2.5 3.9 0.7 0.3 0.5 1.0 2.7 5.8 2
89 49 13.6 0.505 0.000 0.697 1.1 2.3 3.4 0.4 0.3 0.8 1.0 1.9 4.5 2
91 25 17.6 0.418 0.235 0.786 1.2 2.8 4.0 0.6 0.3 0.6 1.0 1.8 7.1 2
715 481 27.5 0.446 0.390 0.784 1.9 6.0 7.9 1.5 0.6 0.4 1.2 2.6 10.9 2
566 457 29.5 0.561 0.080 0.678 2.1 4.8 7.0 1.8 1.2 0.9 2.0 3.3 12.4 2
330 252 27.0 0.514 0.000 0.721 3.2 5.4 8.6 1.8 0.7 1.3 1.4 2.8 8.9 2
511 507 32.6 0.517 0.000 0.585 3.3 6.7 10.1 0.8 0.7 1.8 1.7 3.0 12.7 2
16 2 11.6 0.567 0.000 0.440 1.2 1.3 2.4 0.3 0.5 0.6 0.4 1.9 2.8 2
637 214 20.3 0.464 0.000 0.732 2.1 3.3 5.4 0.9 0.6 0.4 1.3 2.7 6.9 2
116 7 20.3 0.481 0.000 0.707 1.7 2.5 4.2 0.8 0.4 0.6 0.7 1.6 7.1 2
112 46 19.2 0.547 0.000 0.751 2.4 2.4 4.8 0.5 0.4 0.6 1.6 2.5 9.0 2
59 5 8.7 0.574 0.000 0.815 0.6 1.6 2.2 0.1 0.2 0.3 0.2 1.6 2.3 2
536 417 22.9 0.553 0.000 0.606 1.9 4.3 6.2 1.0 0.3 1.4 1.7 2.8 6.2 2
442 131 15.6 0.463 0.111 0.669 1.1 2.8 3.9 0.5 0.4 0.5 0.8 2.5 4.7 2
37 6 8.4 0.464 0.000 0.643 0.8 1.2 2.0 0.2 0.2 0.2 0.5 2.0 2.9 2
580 396 20.1 0.552 0.000 0.558 1.9 4.4 6.3 0.4 0.3 1.4 1.0 2.7 4.0 2
91 10 16.8 0.456 0.000 0.661 1.5 2.2 3.7 0.4 0.4 0.4 1.2 2.2 6.4 2
112 12 13.5 0.442 0.000 0.523 1.1 1.9 3.0 0.4 0.5 1.3 0.7 2.2 4.0 2
115 22 15.7 0.509 0.000 0.683 1.6 2.2 3.8 0.4 0.3 0.9 0.9 2.3 5.3 2
8 0 8.6 0.636 0.000 0.000 0.6 1.9 2.5 0.1 0.2 0.6 0.1 2.1 1.8 2
249 38 15.3 0.468 0.278 0.726 1.2 2.0 3.2 0.5 0.4 0.6 0.7 2.0 5.0 2
265 58 16.4 0.481 0.150 0.760 1.5 2.7 4.3 0.5 0.3 0.5 0.8 2.3 7.6 2
119 8 15.6 0.586 0.000 0.626 1.4 2.9 4.3 0.8 0.4 0.5 1.0 1.9 6.9 2
55 3 13.9 0.545 0.000 0.707 0.9 2.3 3.2 0.5 0.7 1.6 0.6 2.6 2.9 2
641 624 34.5 0.533 0.244 0.762 2.6 6.1 8.8 1.5 0.9 1.4 2.6 3.4 21.6 2
135 16 10.3 0.547 0.000 0.581 0.9 1.7 2.7 0.1 0.2 0.8 0.5 1.9 2.2 2
1071 633 25.0 0.485 0.258 0.762 1.8 5.0 6.8 1.1 0.7 0.8 1.2 3.3 8.3 2
60 25 23.7 0.439 0.000 0.552 3.1 3.4 6.5 0.5 0.4 1.0 1.4 2.2 8.2 2
375 95 17.8 0.530 0.000 0.677 1.1 2.7 3.8 1.5 0.4 1.4 0.8 2.6 5.2 2
42 23 13.5 0.421 0.000 0.558 1.3 2.0 3.3 0.4 0.4 0.5 0.9 2.0 4.9 2
119 29 19.5 0.433 0.000 0.719 1.5 2.1 3.7 0.8 0.5 1.6 0.8 2.7 4.8 2
444 128 25.1 0.519 0.037 0.609 2.4 4.8 7.2 1.0 0.9 0.7 0.9 2.8 7.3 2
51 15 15.9 0.450 0.375 0.529 1.7 3.1 4.8 0.6 0.4 0.7 0.6 2.2 5.5 2
1088 912 29.5 0.474 0.137 0.414 3.2 6.5 9.6 1.3 1.3 2.0 1.0 1.9 5.7 2
14 0 12.0 0.414 0.000 0.478 0.9 1.9 2.8 0.2 0.5 0.4 1.1 1.6 2.5 2
19 0 5.8 0.444 0.000 0.417 0.8 1.2 2.1 0.0 0.2 0.8 0.3 0.7 1.5 2
43 5 14.7 0.507 0.000 0.652 1.5 2.1 3.6 0.3 0.5 0.4 0.5 1.4 4.6 2
137 29 14.4 0.511 0.000 0.624 1.3 2.1 3.4 0.3 0.3 1.2 0.9 2.4 4.2 2
361 104 15.5 0.462 0.222 0.740 1.5 2.9 4.3 0.5 0.5 0.4 0.8 2.0 4.5 2
